id,Brand,Manifacture_Year,Car_Age_2024,Entry_price,Price_2024
151,Audi_A4_2003,2003,21,68639.2,58676.88
152,Audi_A4_2004,2004,20,70626.64,58535.66
153,Audi_A4_2005,2005,19,71802.64,58492.87
154,Audi_A4_2006,2006,18,74468.24,58348.55
155,Audi_A4_2007,2007,17,74468.24,58426.06
156,Audi_A4_2008,2008,16,77106.4,58331.41
157,Audi_A4_2009,2009,15,75499.2,58516.67
158,Audi_A4_2010,2010,14,82731.6,58218.83
159,Audi_A4_2011,2011,13,84378.0,58255.94
160,Audi_A4_2012,2012,12,86161.6,58301.44
161,Audi_A4_2013,2013,11,86161.6,58421.63
162,Audi_A4_2014,2014,10,93021.6,58341.37
163,Audi_A4_2015,2015,9,95844.0,58414.88
164,Audi_A4_2016,2016,8,95844.0,58562.53
165,Audi_A4_2017,2017,7,103076.4,58590.17
166,Audi_A4_2018,2018,6,108172.4,58690.74
167,Audi_A5_2007,2007,17,101822.0,71855.74
168,Audi_A5_2008,2008,16,95961.6,72241.25
169,Audi_A5_2009,2009,15,92139.6,72519.52
170,Audi_A5_2010,2010,14,94158.4,72503.87
171,Audi_A5_2011,2011,13,96902.4,72476.11
172,Audi_A5_2012,2012,12,98960.4,72495.59
173,Audi_A5_2013,2013,11,98960.4,72595.67
174,Audi_A5_2014,2014,10,102880.4,72584.51
175,Audi_A5_2015,2015,9,104252.4,72662.45
176,Audi_A5_2016,2016,8,104252.4,72777.34
177,Audi_A5_2017,2017,7,114209.2,72723.13
178,Audi_A5_2018,2018,6,122774.4,72756.3
179,Audi_A6_1998,1998,26,90042.4,146663.08
180,Audi_A6_1999,1999,25,90042.4,146441.64
181,Audi_A6_2000,2000,24,80693.2,147925.96
182,Audi_A6_2001,2001,23,79654.4,147838.77
183,Audi_A6_2002,2002,22,79654.4,147537.34
184,Audi_A6_2003,2003,21,79654.4,147235.91
185,Audi_A6_2004,2004,20,82033.84,146532.2
186,Audi_A6_2005,2005,19,88893.84,145263.63
187,Audi_A6_2006,2006,18,95401.04,144271.39
188,Audi_A6_2007,2007,17,98301.84,143793.96
189,Audi_A6_2008,2008,16,96530.0,143789.09
190,Audi_A6_2009,2009,15,94491.6,143794.04
191,Audi_A6_2010,2010,14,100528.4,143110.06
192,Audi_A6_2011,2011,13,102762.8,142797.3
193,Audi_A6_2012,2012,12,104938.4,142518.08
194,Audi_A6_2013,2013,11,120559.6,141633.5
195,Audi_A6_2014,2014,10,121245.6,141541.43
196,Audi_A6_2015,2015,9,121245.6,141477.86
197,Audi_A6_2016,2016,8,126380.8,141266.21
198,Audi_A6_2017,2017,7,126380.8,141221.16
199,Audi_A6_2018,2018,6,129144.4,141119.99
200,Audi_A7_2010,2010,14,167619.2,118622.11
201,Audi_A7_2011,2011,13,156114.0,119002.32
202,Audi_A7_2012,2012,12,156114.0,119092.57
203,Audi_A7_2013,2013,11,159994.8,119102.29
204,Audi_A7_2014,2014,10,160680.8,119187.28
205,Audi_A7_2015,2015,9,160680.8,119286.1
206,Audi_A7_2016,2016,8,181731.2,119113.24
207,Audi_A7_2017,2017,7,183495.2,119228.57
208,Audi_A7_2018,2018,6,183769.6,119361.54
209,Audi_A8_1998,1998,26,142766.4,110924.7
210,Audi_A8_1999,1999,25,142766.4,111006.31
211,Audi_A8_2000,2000,24,142158.8,111119.75
212,Audi_A8_2001,2001,23,135236.08,111567.04
213,Audi_A8_2002,2002,22,149430.4,110946.58
214,Audi_A8_2003,2003,21,149430.4,111042.03
215,Audi_A8_2004,2004,20,180229.84,110123.91
216,Audi_A8_2005,2005,19,180229.84,110270.04
217,Audi_A8_2006,2006,18,190029.84,110187.92
218,Audi_A8_2007,2007,17,193667.6,110272.26
219,Audi_A8_2008,2008,16,193667.6,110435.45
220,Audi_A8_2009,2009,15,190845.2,110649.39
221,Audi_A8_2010,2010,14,199096.8,110674.46
222,Audi_A8_2011,2011,13,199096.8,110843.88
223,Audi_A8_2012,2012,12,203283.36,110958.3
224,Audi_A8_2013,2013,11,209563.2,111060.45
225,Audi_A8_2014,2014,10,209563.2,111240.99
226,Audi_A8_2015,2015,9,232632.4,111232.81
227,Audi_A8_2016,2016,8,232789.2,111433.29
228,Audi_A8_2017,2017,7,235337.2,111620.5
229,Audi_A8_2018,2018,6,253310.4,111744.04
230,Audi_Q2_2016,2016,8,79086.0,90884.9
231,Audi_Q2_2017,2017,7,79086.0,90828.64
232,Audi_Q2_2018,2018,6,84064.4,90613.11
233,Audi_Q3_2011,2011,13,95608.8,97694.9
234,Audi_Q3_2012,2012,12,95608.8,97686.78
235,Audi_Q3_2013,2013,11,92864.8,97808.72
236,Audi_Q3_2014,2014,10,92864.8,97788.77
237,Audi_Q3_2015,2015,9,92864.8,97768.83
238,Audi_Q3_2016,2016,8,100332.4,97503.6
239,Audi_Q3_2017,2017,7,102292.4,97463.18
240,Audi_Q3_2018,2018,6,102292.4,97481.2
241,Audi_Q5_2008,2008,16,105232.4,99338.11
242,Audi_Q5_2009,2009,15,99862.0,99658.33
243,Audi_Q5_2010,2010,14,103213.6,99481.22
244,Audi_Q5_2011,2011,13,103213.6,99494.68
245,Audi_Q5_2012,2012,12,107800.0,99314.88
246,Audi_Q5_2013,2013,11,117012.0,99030.58
247,Audi_Q5_2014,2014,10,119971.6,99006.3
248,Audi_Q5_2015,2015,9,121618.0,99032.96
249,Audi_Q5_2016,2016,8,121618.0,99103.71
250,Audi_Q5_2017,2017,7,126929.6,99080.35
251,Audi_Q5_2018,2018,6,150939.6,98870.75
252,Audi_Q7_2006,2006,18,145341.84,120876.46
253,Audi_Q7_2007,2007,17,145341.84,120939.39
254,Audi_Q7_2008,2008,16,147882.0,120911.89
255,Audi_Q7_2009,2009,15,148764.0,120951.71
256,Audi_Q7_2010,2010,14,148764.0,121022.21
257,Audi_Q7_2011,2011,13,154663.6,120933.28
258,Audi_Q7_2012,2012,12,154820.4,121012.29
259,Audi_Q7_2013,2013,11,154820.4,121095.36
260,Audi_Q7_2014,2014,10,169951.6,120903.4
261,Audi_Q7_2015,2015,9,174263.6,120951.31
262,Audi_Q7_2016,2016,8,174263.6,121068.85
263,Audi_Q7_2017,2017,7,189159.6,121035.11
264,Audi_Q7_2018,2018,6,199351.6,121096.7
265,Audi_R8_2007,2007,17,299782.0,308191.33
266,Audi_R8_2008,2008,16,305152.4,308067.17
267,Audi_R8_2009,2009,15,301644.0,308132.53
268,Audi_R8_2010,2010,14,321812.4,307773.06
269,Audi_R8_2011,2011,13,329652.4,307673.88
270,Audi_R8_2012,2012,12,340569.6,307558.72
271,Audi_R8_2013,2013,11,340569.6,307596.2
272,Audi_R8_2014,2014,10,359032.8,307451.37
273,Audi_R8_2015,2015,9,362952.8,307474.39
274,Audi_R8_2016,2016,8,463912.4,306954.57
275,Audi_R8_2017,2017,7,423144.4,307261.83
276,Audi_R8_2018,2018,6,432748.4,307330.5
277,Audi_TT_1999,1999,25,103762.4,36177.3
278,Audi_TT_2000,2000,24,93570.4,36825.48
279,Audi_TT_2001,2001,23,93570.4,37041.49
280,Audi_TT_2002,2002,22,83378.4,37730.78
281,Audi_TT_2003,2003,21,83378.4,37925.27
282,Audi_TT_2004,2004,20,80465.84,38262.75
283,Audi_TT_2005,2005,19,80465.84,38450.09
284,Audi_TT_2006,2006,18,81877.04,38573.94
285,Audi_TT_2007,2007,17,82661.04,38732.39
286,Audi_TT_2008,2008,16,92943.2,38572.53
287,Audi_TT_2009,2009,15,92943.2,38787.35
288,Audi_TT_2010,2010,14,94981.6,38948.94
289,Audi_TT_2011,2011,13,93629.2,39200.11
290,Audi_TT_2012,2012,12,93629.2,39416.23
291,Audi_TT_2013,2013,11,94726.8,39609.93
292,Audi_TT_2014,2014,10,95785.2,39808.88
293,Audi_TT_2015,2015,9,105702.8,39883.78
294,Audi_TT_2016,2016,8,105702.8,40119.98
295,Audi_TT_2017,2017,7,107408.0,40338.88
296,Audi_TT_2018,2018,6,112092.4,40539.11
297,BMW_1 Series_2004,2004,20,60787.44,54742.47
298,BMW_1 Series_2005,2005,19,60787.44,54777.0
299,BMW_1 Series_2006,2006,18,61963.44,54689.41
300,BMW_1 Series_2007,2007,17,61963.44,54730.72
301,BMW_1 Series_2008,2008,16,62543.6,54719.99
302,BMW_1 Series_2009,2009,15,63641.2,54674.68
303,BMW_1 Series_2010,2010,14,65091.6,54618.72
304,BMW_1 Series_2011,2011,13,68325.6,54471.47
305,BMW_1 Series_2012,2012,12,67130.0,54613.41
306,BMW_1 Series_2013,2013,11,68423.6,54614.4
307,BMW_1 Series_2014,2014,10,69462.4,54641.33
308,BMW_1 Series_2015,2015,9,69462.4,54720.5
309,BMW_1 Series_2016,2016,8,79144.8,54493.51
310,BMW_1 Series_2017,2017,7,83123.6,54518.96
311,BMW_1 Series_2018,2018,6,83123.6,54649.54
312,BMW_1 Series_2019,2019,5,89336.8,54689.22
313,BMW_2 Series_2013,2013,11,94903.2,79192.95
314,BMW_2 Series_2014,2014,10,86514.4,79574.93
315,BMW_2 Series_2015,2015,9,86514.4,79605.01
316,BMW_2 Series_2016,2016,8,87416.0,79605.23
317,BMW_2 Series_2017,2017,7,91394.8,79529.89
318,BMW_2 Series_2018,2018,6,91394.8,79579.3
319,BMW_3 Series_1998,1998,26,56918.4,63564.09
320,BMW_3 Series_1999,1999,25,53508.0,64211.74
321,BMW_3 Series_2000,2000,24,54762.4,63893.52
322,BMW_3 Series_2001,2001,23,56918.4,63447.63
323,BMW_3 Series_2002,2002,22,63112.0,62478.67
324,BMW_3 Series_2003,2003,21,62034.0,62623.92
325,BMW_3 Series_2004,2004,20,61983.04,62627.13
326,BMW_3 Series_2005,2005,19,61983.04,62623.52
327,BMW_3 Series_2006,2006,18,77271.04,61211.0
328,BMW_3 Series_2007,2007,17,77643.44,61259.78
329,BMW_3 Series_2008,2008,16,80438.4,61160.38
330,BMW_3 Series_2009,2009,15,83006.0,61106.08
331,BMW_3 Series_2010,2010,14,86142.0,61052.1
332,BMW_3 Series_2011,2011,13,86142.0,61159.44
333,BMW_3 Series_2012,2012,12,88239.2,61185.59
334,BMW_3 Series_2013,2013,11,90179.6,61233.91
335,BMW_3 Series_2014,2014,10,91610.4,61311.53
336,BMW_3 Series_2015,2015,9,91610.4,61435.85
337,BMW_3 Series_2016,2016,8,94354.4,61497.91
338,BMW_3 Series_2017,2017,7,100058.0,61526.32
339,BMW_3 Series_2018,2018,6,104174.0,61615.15
340,BMW_3 Series_2019,2019,5,107956.8,61730.52
341,BMW_3 Series_2020,2020,4,134730.4,61714.83
342,BMW_4 Series_2013,2013,11,113699.6,103674.11
343,BMW_4 Series_2014,2014,10,114562.0,103680.41
344,BMW_4 Series_2015,2015,9,114562.0,103716.42
345,BMW_4 Series_2016,2016,8,117894.0,103671.93
346,BMW_4 Series_2017,2017,7,117894.0,103717.99
347,BMW_4 Series_2018,2018,6,119266.0,103740.17
348,BMW_5 Series_1998,1998,26,94981.6,66167.13
349,BMW_5 Series_1999,1999,25,94981.6,66274.53
350,BMW_5 Series_2000,2000,24,90865.6,66691.33
351,BMW_5 Series_2001,2001,23,89964.0,66854.41
352,BMW_5 Series_2002,2002,22,91571.2,66829.91
353,BMW_5 Series_2003,2003,21,91571.2,66926.71
354,BMW_5 Series_2004,2004,20,99164.24,66571.43
355,BMW_5 Series_2005,2005,19,100947.84,66599.31
356,BMW_5 Series_2006,2006,18,100947.84,66723.53
357,BMW_5 Series_2007,2007,17,100947.84,66847.75
358,BMW_5 Series_2008,2008,16,105095.2,66802.89
359,BMW_5 Series_2009,2009,15,106839.6,66874.68
360,BMW_5 Series_2010,2010,14,109211.2,66936.74
361,BMW_5 Series_2011,2011,13,109720.8,67066.27
362,BMW_5 Series_2012,2012,12,117502.0,67016.12
363,BMW_5 Series_2013,2013,11,116718.0,67195.06
364,BMW_5 Series_2014,2014,10,118423.2,67322.11
365,BMW_5 Series_2015,2015,9,118423.2,67485.84
366,BMW_5 Series_2016,2016,8,121755.2,67599.6
367,BMW_5 Series_2017,2017,7,121755.2,67769.58
368,BMW_5 Series_2018,2018,6,139630.4,67769.03
369,BMW_6 Series_2004,2004,20,176623.44,43086.11
370,BMW_6 Series_2005,2005,19,176623.44,43369.89
371,BMW_6 Series_2006,2006,18,180641.44,43610.33
372,BMW_6 Series_2007,2007,17,183542.24,43868.09
373,BMW_6 Series_2008,2008,16,187062.4,44124.59
374,BMW_6 Series_2009,2009,15,198822.4,44323.75
375,BMW_6 Series_2010,2010,14,198822.4,44619.61
376,BMW_6 Series_2011,2011,13,215796.0,44817.17
377,BMW_6 Series_2012,2012,12,232044.4,45046.16
378,BMW_6 Series_2013,2013,11,233200.8,45351.29
379,BMW_6 Series_2014,2014,10,236101.6,45651.25
380,BMW_6 Series_2015,2015,9,231378.0,45977.17
381,BMW_6 Series_2016,2016,8,231378.0,46286.56
382,BMW_6 Series_2017,2017,7,182495.6,46750.84
383,BMW_6 Series_2018,2018,6,170618.0,47081.85
384,BMW_6 Series_2019,2019,5,170618.0,47361.82
385,BMW_6 Series_2020,2020,4,171088.4,47640.56
386,BMW_6 Series_2021,2021,3,171088.4,47920.83
387,BMW_7 Series_1998,1998,26,142296.0,79802.69
388,BMW_7 Series_1999,1999,25,146490.4,79797.73
389,BMW_7 Series_2000,2000,24,146490.4,79965.01
390,BMW_7 Series_2001,2001,23,146490.4,80132.28
391,BMW_7 Series_2002,2002,22,150900.4,80155.08
392,BMW_7 Series_2003,2003,21,173930.4,79722.31
393,BMW_7 Series_2004,2004,20,174937.84,79903.24
394,BMW_7 Series_2005,2005,19,179328.24,80019.52
395,BMW_7 Series_2006,2006,18,187932.64,80076.66
396,BMW_7 Series_2007,2007,17,190088.64,80259.72
397,BMW_7 Series_2008,2008,16,202252.4,80311.89
398,BMW_7 Series_2009,2009,15,202252.4,80541.12
399,BMW_7 Series_2010,2010,14,215717.6,80628.11
400,BMW_7 Series_2011,2011,13,215717.6,80867.51
401,BMW_7 Series_2012,2012,12,223636.0,81042.06
402,BMW_7 Series_2013,2013,11,227066.0,81262.4
403,BMW_7 Series_2014,2014,10,227654.0,81505.67
404,BMW_7 Series_2015,2015,9,227654.0,81753.07
405,BMW_7 Series_2016,2016,8,227654.0,82000.46
406,BMW_7 Series_2017,2017,7,239453.2,82197.98
407,BMW_7 Series_2018,2018,6,239453.2,82452.5
408,BMW_Alpina D5 Bi-Turbo_2011,2011,13,218461.6,32206.39
409,BMW_Alpina D5 Bi-Turbo_2012,2012,12,218461.6,32532.98
410,BMW_Alpina D5 Bi-Turbo_2013,2013,11,222342.4,32847.01
411,BMW_Alpina D5 Bi-Turbo_2014,2014,10,222322.8,33174.8
412,BMW_Alpina D5 Bi-Turbo_2015,2015,9,222322.8,33502.53
413,BMW_Alpina D5 Bi-Turbo_2016,2016,8,222342.4,33830.21
414,BMW_Alpina D5 Bi-Turbo_2017,2017,7,222342.4,34157.95
415,BMW_Alpina D5 Bi-Turbo_2018,2018,6,222342.4,34485.68
416,BMW_X1_2009,2009,15,90748.0,76793.19
417,BMW_X1_2010,2010,14,90748.0,76849.8
418,BMW_X1_2011,2011,13,90748.0,76906.42
419,BMW_X1_2012,2012,12,93590.0,76840.81
420,BMW_X1_2013,2013,11,93590.0,76907.61
421,BMW_X1_2014,2014,10,94766.0,76934.05
422,BMW_X1_2015,2015,9,94766.0,77004.88
423,BMW_X1_2016,2016,8,94766.0,77075.71
424,BMW_X1_2017,2017,7,104605.2,76935.08
425,BMW_X1_2018,2018,6,104605.2,77036.12
426,BMW_X2_2017,2017,7,116737.6,92363.11
427,BMW_X2_2018,2018,6,116737.6,92443.08
428,BMW_X3_2004,2004,20,101810.24,78470.07
429,BMW_X3_2005,2005,19,97243.44,78828.83
430,BMW_X3_2006,2006,18,97243.44,78897.78
431,BMW_X3_2007,2007,17,98223.44,78911.94
432,BMW_X3_2008,2008,16,108446.8,78501.71
433,BMW_X3_2009,2009,15,108446.8,78604.03
434,BMW_X3_2010,2010,14,111641.6,78590.3
435,BMW_X3_2011,2011,13,111641.6,78700.92
436,BMW_X3_2012,2012,12,111347.6,78820.45
437,BMW_X3_2013,2013,11,112856.8,78888.82
438,BMW_X3_2014,2014,10,112856.8,79002.46
439,BMW_X3_2015,2015,9,121951.2,78929.28
440,BMW_X3_2016,2016,8,121951.2,79063.68
441,BMW_X3_2017,2017,7,132888.0,79049.68
442,BMW_X3_2018,2018,6,135592.8,79176.99
443,BMW_X4_2014,2014,10,142668.4,120322.49
444,BMW_X4_2015,2015,9,143844.4,120357.8
445,BMW_X4_2016,2016,8,146392.4,120374.39
446,BMW_X4_2017,2017,7,146745.2,120437.15
447,BMW_X4_2018,2018,6,150077.2,120463.11
448,BMW_X5_2000,2000,24,128654.4,115340.6
449,BMW_X5_2001,2001,23,128654.4,115378.4
450,BMW_X5_2002,2002,22,129203.2,115383.11
451,BMW_X5_2003,2003,21,129203.2,115422.41
452,BMW_X5_2004,2004,20,132378.4,115292.53
453,BMW_X5_2005,2005,19,138187.84,115065.33
454,BMW_X5_2006,2006,18,141069.04,115006.34
455,BMW_X5_2007,2007,17,143185.84,114994.13
456,BMW_X5_2008,2008,16,155408.4,114667.4
457,BMW_X5_2009,2009,15,156310.0,114740.81
458,BMW_X5_2010,2010,14,162464.4,114686.66
459,BMW_X5_2011,2011,13,162464.4,114798.18
460,BMW_X5_2012,2012,12,174655.6,114674.75
461,BMW_X5_2013,2013,11,166188.4,114952.07
462,BMW_X5_2014,2014,10,166188.4,115069.86
463,BMW_X5_2015,2015,9,167560.4,115167.46
464,BMW_X5_2016,2016,8,170696.4,115247.53
465,BMW_X5_2017,2017,7,184181.2,115235.75
466,BMW_X5_2018,2018,6,187709.2,115352.43
467,BMW_X6_2008,2008,16,163464.0,135611.62
468,BMW_X6_2009,2009,15,164992.8,135630.4
469,BMW_X6_2010,2010,14,169834.0,135568.2
470,BMW_X6_2011,2011,13,175616.0,135509.83
471,BMW_X6_2012,2012,12,179869.2,135510.28
472,BMW_X6_2013,2013,11,183064.0,135547.32
473,BMW_X6_2014,2014,10,184867.2,135618.19
474,BMW_X6_2015,2015,9,191413.6,135631.27
475,BMW_X6_2016,2016,8,202174.0,135624.29
476,BMW_X6_2017,2017,7,202174.0,135751.36
477,BMW_X6_2018,2018,6,229339.6,135690.13
478,BMW_X6_2019,2019,5,238884.8,135801.91
479,BMW_Z3_1998,1998,26,83613.6,9691.01
480,BMW_Z3_1999,1999,25,77674.8,10158.73
